"var_id","code","original_1","original_2","original_3","code_description","shortname"
"line_1",4,2,NA,NA,"One solo singer, whether or not accompanied by instruments.","SoloSinger"
"line_1",512,9,NA,NA,"Two groups of two or more singers interact as described for 7, above. The same rules for double coding apply.","GroupGroup"
"line_1",4096,12,NA,NA,"Two or more groups overlap as in 10. In those rare cases where the groups are radically different in size (for example, two singers versus 20), 12 is still coded, even though the smaller group may give the impression of leading the larger.","GroupGroupOverlapAlternation"
"line_1",8,3,NA,NA,"One singer with an audience whose dancing, shouting, etc. can be heard. In practice we omitted this point and coded all solos .","SoloSingerAudience"
"line_1",128,7,NA,NA,"A diffuse, individualized group performance is rhythmically and/or melodically diffuse, such that in extreme cases the singers do not seem to be aware of one another at all.","DiffuseGroup"
"line_1",256,8,NA,NA,"Situations in which there is alternation between a solo voice and a chorus with a perceptible, if sometimes very slight, pause between the two parts.","LeaderGroup"
"line_1",64,6,NA,NA,"No predominant lead voice is steadily heard over the social unison. Sometimes a leader can be heard briefly above the group at beginnings of sections, but as soon as the group joins in, the leader’s voice is submerged.","SocialUnisonPredominantGroup"
"line_1",9216,13,10,NA,"Interlock and leader group overlap","InterlockAndLeaderGroupOverlap"
"line_1",16,4,NA,NA,"Two or more singers alternate in singing a melody, or split the melody between them in some way. Only one singer is heard at a time.","SoloSingerConsecutive"
"line_1",192,7,6,NA,"Diffuse group and social unison predominant group","DiffuseGroupAndSocialUnisonPredominantGroup"
"line_1",2048,11,NA,NA,"This is the same as 10, except that the group predominates rather than the leader. Although it may sometimes support the leader, the group is very active, and sings more than half of the time.","GroupLeaderOverlapAlternation"
"line_1",32,5,NA,NA,"A single predominant voice—a leader— stands out above the general effect of social unison. The leader’s voice is usually louder and more forceful than the others. Sometimes the leader imitates phrases or other parts of the melody. Sometimes the leader seems to spur the group on. In general, a predominant part is louder, more elaborate, more active, or longer than the others.","UnisonPredominantLeader"
"line_1",1024,10,NA,NA,"A more integrated alternation of leader and chorus, whose parts overlap so that one begins before the other ends. In extreme cases the chorus may also be heard backing the leader during his or her own part. However, the leader is still predominant; his or her part is longer than that of the group and often more elaborate. The group’s activity supports and contrasts with the leader’s part.","LeaderGroupOverlap"
"line_1",8192,13,NA,NA,"A group in which several voices overlap in a rhythmically coordinated relationship. Often there is no clear leading part; all seem about equally important. Although some singers may be duplicating another part at the octave or in unison, the general impression is of a group of individuals, each with his or her own part, interacting in such a way as to create a homogeneous texture.","Interlock"
"line_1",14336,13,12,11,"Interlock and group group overlap alternation and group leader overlap alternation","InterlockAndGroupGroupOverlapAlternationAndGroupLeaderOverlapAlternation"
"line_1",5120,12,10,NA,"Group group overlap alternation and leader group overlap","GroupGroupOverlapAlternationAndLeaderGroupOverlap"
"line_1",1280,10,8,NA,"Leader group overlap and leader group","LeaderGroupOverlapAndLeaderGroup"
"line_1",10240,13,11,NA,"Interlock and group leader overlap alternation","InterlockAndGroupLeaderOverlapAlternation"
"line_1",8448,13,8,NA,"Interlock and leader group","InterlockAndLeaderGroup"
"line_1",12288,13,12,NA,"Interlock and group group overlap alternation","InterlockAndGroupGroupOverlapAlternation"
"line_1",768,9,8,NA,"Group group and leader group","GroupGroupAndLeaderGroup"
"line_1",80,6,4,NA,"Social unison predominant group and solo singer consecutive","SocialUnisonPredominantGroupAndSoloSingerConsecutive"
"line_1",2,1,NA,NA,"No singers","NoSinger"
"line_1",144,7,4,NA,"Diffuse group and solo singer consecutive","DiffuseGroupAndSoloSingerConsecutive"
"line_1",160,7,5,NA,"Diffuse group and unison predominant leader","DiffuseGroupAndUnisonPredominantLeader"
"line_1",1152,10,7,NA,"Leader group overlap and diffuse group","LeaderGroupOverlapAndDiffuseGroup"
"line_1",48,5,4,NA,"Unison predominant leader and solo singer consecutive","UnisonPredominantLeaderAndSoloSingerConsecutive"
"line_1",2304,11,8,NA,"Group leader overlap alternation and leader group","GroupLeaderOverlapAlternationAndLeaderGroup"
"line_1",96,6,5,NA,"Social unison predominant group and unison predominant leader","SocialUnisonPredominantGroupAndUnisonPredominantLeader"
"line_1",1792,10,9,8,"Leader group overlap and group group and leader group","LeaderGroupOverlapAndGroupGroupAndLeaderGroup"
"line_1",4608,12,9,NA,"Group group overlap alternation and group group","GroupGroupOverlapAlternationAndGroupGroup"
"line_1",4864,12,9,8,"Group group overlap alternation and group group and leader group","GroupGroupOverlapAlternationAndGroupGroupAndLeaderGroup"
"line_1",6144,12,11,NA,"Group group overlap alternation and group leader overlap alternation","GroupGroupOverlapAlternationAndGroupLeaderOverlapAlternation"
"line_1",4352,12,8,NA,"Group group overlap alternation and leader group","GroupGroupOverlapAlternationAndLeaderGroup"
